pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
kami smapai jam 2 malam bru hdup,Jadwal & Kegiatan,Tidak Berisiko,kami smapai jam 2 malam bru hdup,"['kami', 'smapai', 'jam', 'malam', 'bru', 'hdup']","['smapai', 'jam', 'malam', 'bru', 'hdup']","['smapai', 'jam', 'malam', 'bru', 'hdup']",smapai jam malam bru hdup
di wilayah ku Aceh sampe sekarang masih padam listrik,Informasi Umum,Tidak Berisiko,di wilayah ku aceh sampe sekarang masih padam listrik,"['di', 'wilayah', 'ku', 'aceh', 'sampe', 'sekarang', 'masih', 'padam', 'listrik']","['wilayah', 'aceh', 'sampe', 'sekarang', 'padam', 'listrik']","['wilayah', 'aceh', 'sampe', 'sekarang', 'padam', 'listrik']",wilayah aceh sampe sekarang padam listrik
apa yang di selundupin pak? 😂,Percakapan Biasa,Tidak Berisiko,apa yang di selundupin pak? 😂,"['apa', 'yang', 'di', 'selundupin', 'pak']","['apa', 'selundupin', 'pak']","['apa', 'selundupin', 'pak']",apa selundupin pak
Brp lm kyk gini😅,Percakapan Biasa,Tidak Berisiko,brp lm kyk gini😅,"['brp', 'lm', 'kyk', 'gini']","['brp', 'lm', 'kyk', 'gini']","['brp', 'lm', 'kyk', 'gin']",brp lm kyk gin
"gratisin dong bulan ini
giliran telat aja didenda",Percakapan Biasa,Tidak Berisiko,"gratisin dong bulan ini
giliran telat aja didenda","['gratisin', 'dong', 'bulan', 'ini', 'giliran', 'telat', 'aja', 'didenda']","['gratisin', 'bulan', 'giliran', 'telat', 'aja', 'didenda']","['gratisin', 'bulan', 'gilir', 'telat', 'aja', 'denda']",gratisin bulan gilir telat aja denda
jam 18:00 lebih sampe 10.:30....wiiiii seru....,Jadwal & Kegiatan,Tidak Berisiko,jam 18:00 lebih sampe 10.:30....wiiiii seru....,"['jam', 'lebih', 'sampe', 'wiiiii', 'seru']","['jam', 'lebih', 'sampe', 'wiiiii', 'seru']","['jam', 'lebih', 'sampe', 'wiiiii', 'seru']",jam lebih sampe wiiiii seru
klw telat bayar bisa minta maaf juga kah pak direktur... 🤭🤭🤭🤭🤭 maaf bertanya dengan nada dering nokia🤣🤣🤣🤣🤣,Transaksi Aman,Tidak Berisiko,klw telat bayar bisa minta maaf juga kah pak direktur... 🤭🤭🤭🤭🤭 maaf bertanya dengan nada dering nokia🤣🤣🤣🤣🤣,"['klw', 'telat', 'bayar', 'bisa', 'minta', 'maaf', 'juga', 'kah', 'pak', 'direktur', 'maaf', 'bertanya', 'dengan', 'nada', 'dering', 'nokia']","['klw', 'telat', 'bayar', 'minta', 'maaf', 'pak', 'direktur', 'maaf', 'bertanya', 'nada', 'dering', 'nokia']","['klw', 'telat', 'bayar', 'minta', 'maaf', 'pak', 'direktur', 'maaf', 'tanya', 'nada', 'dering', 'nokia']",klw telat bayar minta maaf pak direktur maaf tanya nada dering nokia
PLN wajib di denda...karna klu kami bayar kena denda..,Transaksi Aman,Tidak Berisiko,pln wajib di denda...karna klu kami bayar kena denda..,"['pln', 'wajib', 'di', 'denda', 'karna', 'klu', 'kami', 'bayar', 'kena', 'denda']","['pln', 'wajib', 'denda', 'karna', 'klu', 'bayar', 'kena', 'denda']","['pln', 'wajib', 'denda', 'karna', 'klu', 'bayar', 'kena', 'denda']",pln wajib denda karna klu bayar kena denda
"lewat pembayaran denda
jadi kalo mati lampu bayar kompensasi dong",Transaksi Aman,Tidak Berisiko,"lewat pembayaran denda
jadi kalo mati lampu bayar kompensasi dong","['lewat', 'pembayaran', 'denda', 'jadi', 'kalo', 'mati', 'lampu', 'bayar', 'kompensasi', 'dong']","['lewat', 'pembayaran', 'denda', 'kalo', 'mati', 'lampu', 'bayar', 'kompensasi']","['lewat', 'bayar', 'denda', 'kalo', 'mati', 'lampu', 'bayar', 'kompensasi']",lewat bayar denda kalo mati lampu bayar kompensasi
sudah berulang x dan cuma maaf .kalau telat bayar langsung cabut..,Transaksi Aman,Tidak Berisiko,sudah berulang x dan cuma maaf .kalau telat bayar langsung cabut..,"['sudah', 'berulang', 'x', 'dan', 'cuma', 'maaf', 'kalau', 'telat', 'bayar', 'langsung', 'cabut']","['berulang', 'cuma', 'maaf', 'kalau', 'telat', 'bayar', 'langsung', 'cabut']","['ulang', 'cuma', 'maaf', 'kalau', 'telat', 'bayar', 'langsung', 'cabut']",ulang cuma maaf kalau telat bayar langsung cabut
dari malam sampe siang baru hidup 🗿,Percakapan Biasa,Tidak Berisiko,dari malam sampe siang baru hidup 🗿,"['dari', 'malam', 'sampe', 'siang', 'baru', 'hidup']","['malam', 'sampe', 'siang', 'baru', 'hidup']","['malam', 'sampe', 'siang', 'baru', 'hidup']",malam sampe siang baru hidup
kmi sampai saat ni blom hidup (Aceh Tamiang),Percakapan Biasa,Tidak Berisiko,kmi sampai saat ni blom hidup (aceh tamiang),"['kmi', 'sampai', 'saat', 'ni', 'blom', 'hidup', 'aceh', 'tamiang']","['kmi', 'ni', 'blom', 'hidup', 'aceh', 'tamiang']","['kmi', 'ni', 'blom', 'hidup', 'aceh', 'tamiang']",kmi ni blom hidup aceh tamiang
Gitu aja?,Percakapan Biasa,Tidak Berisiko,gitu aja?,"['gitu', 'aja']","['gitu', 'aja']","['gitu', 'aja']",gitu aja
@user191104 @Rendifr. @KIKIN👾 @alfajarariski__ @Rahmattt @refkiii @huda @Riyan @chrisdiansyah,Percakapan Biasa,Tidak Berisiko,@user191104 @rendifr. @kikin👾 @alfajarariski__ @rahmattt @refkiii @huda @riyan @chrisdiansyah,"['user', 'rendifr', 'kikin', 'alfajarariski__', 'rahmattt', 'refkiii', 'huda', 'riyan', 'chrisdiansyah']","['user', 'rendifr', 'kikin', 'alfajarariski__', 'rahmattt', 'refkiii', 'huda', 'riyan', 'chrisdiansyah']","['user', 'rendifr', 'kikin', 'alfajarariski', 'rahmattt', 'refkiii', 'huda', 'riyan', 'chrisdiansyah']",user rendifr kikin alfajarariski rahmattt refkiii huda riyan chrisdiansyah
kalau bisa bayar listrik nanti di murahkan ya pak.,Transaksi Aman,Tidak Berisiko,kalau bisa bayar listrik nanti di murahkan ya pak.,"['kalau', 'bisa', 'bayar', 'listrik', 'nanti', 'di', 'murahkan', 'ya', 'pak']","['kalau', 'bayar', 'listrik', 'murahkan', 'pak']","['kalau', 'bayar', 'listrik', 'murah', 'pak']",kalau bayar listrik murah pak
kalo token kami Habis gk da duit..bisa minta maaf pak..huanjenggg 😂😂😂😂,Percakapan Biasa,Tidak Berisiko,kalo token kami habis gk da duit..bisa minta maaf pak..huanjenggg 😂😂😂😂,"['kalo', 'token', 'kami', 'habis', 'gk', 'da', 'duit', 'bisa', 'minta', 'maaf', 'pak', 'huanjenggg']","['kalo', 'token', 'habis', 'gk', 'da', 'duit', 'minta', 'maaf', 'pak', 'huanjenggg']","['kalo', 'token', 'habis', 'gk', 'da', 'duit', 'minta', 'maaf', 'pak', 'huanjenggg']",kalo token habis gk da duit minta maaf pak huanjenggg
lama loh mati lampunya pak... dari jam setengah 7 malam sampai jam 2 subuh baru hidup..,Jadwal & Kegiatan,Tidak Berisiko,lama loh mati lampunya pak... dari jam setengah 7 malam sampai jam 2 subuh baru hidup..,"['lama', 'loh', 'mati', 'lampunya', 'pak', 'dari', 'jam', 'setengah', 'malam', 'sampai', 'jam', 'subuh', 'baru', 'hidup']","['lama', 'loh', 'mati', 'lampunya', 'pak', 'jam', 'setengah', 'malam', 'jam', 'subuh', 'baru', 'hidup']","['lama', 'loh', 'mati', 'lampu', 'pak', 'jam', 'tengah', 'malam', 'jam', 'subuh', 'baru', 'hidup']",lama loh mati lampu pak jam tengah malam jam subuh baru hidup
sampai kapan pak blackout ny,Percakapan Biasa,Tidak Berisiko,sampai kapan pak blackout ny,"['sampai', 'kapan', 'pak', 'blackout', 'ny']","['kapan', 'pak', 'blackout', 'ny']","['kapan', 'pak', 'blackout', 'ny']",kapan pak blackout ny
udah saya maafin duluan sebelum anda minta maaf,Percakapan Biasa,Tidak Berisiko,udah saya maafin duluan sebelum anda minta maaf,"['udah', 'saya', 'maafin', 'duluan', 'sebelum', 'anda', 'minta', 'maaf']","['udah', 'maafin', 'duluan', 'minta', 'maaf']","['udah', 'maafin', 'duluan', 'minta', 'maaf']",udah maafin duluan minta maaf
"minta maaf mulu, tapi pembayaran listrik gabisa kurang, harusnya sebagai kompensasi karna rakyat alami kerugian, contoh pekerja malam, atau mungkin untuk masak dirumah dll jadi terhambat, sebagai kompensasi kasih kek pembayaran listrik untuk bulan itu dikurangi, biar sama2 enak maksdnya, semoga paham",Transaksi Aman,Tidak Berisiko,"minta maaf mulu, tapi pembayaran listrik gabisa kurang, harusnya sebagai kompensasi karna rakyat alami kerugian, contoh pekerja malam, atau mungkin untuk masak dirumah dll jadi terhambat, sebagai kompensasi kasih kek pembayaran listrik untuk bulan itu dikurangi, biar sama2 enak maksdnya, semoga paham","['minta', 'maaf', 'mulu', 'tapi', 'pembayaran', 'listrik', 'gabisa', 'kurang', 'harusnya', 'sebagai', 'kompensasi', 'karna', 'rakyat', 'alami', 'kerugian', 'contoh', 'pekerja', 'malam', 'atau', 'mungkin', 'untuk', 'masak', 'dirumah', 'dll', 'jadi', 'terhambat', 'sebagai', 'kompensasi', 'kasih', 'kek', 'pembayaran', 'listrik', 'untuk', 'bulan', 'itu', 'dikurangi', 'biar', 'sama', 'enak', 'maksdnya', 'semoga', 'paham']","['minta', 'maaf', 'mulu', 'pembayaran', 'listrik', 'gabisa', 'kurang', 'harusnya', 'kompensasi', 'karna', 'rakyat', 'alami', 'kerugian', 'contoh', 'pekerja', 'malam', 'mungkin', 'masak', 'dirumah', 'terhambat', 'kompensasi', 'kasih', 'kek', 'pembayaran', 'listrik', 'bulan', 'dikurangi', 'biar', 'sama', 'enak', 'maksdnya', 'semoga', 'paham']","['minta', 'maaf', 'mulu', 'bayar', 'listrik', 'gabisa', 'kurang', 'harus', 'kompensasi', 'karna', 'rakyat', 'alami', 'rugi', 'contoh', 'kerja', 'malam', 'mungkin', 'masak', 'rumah', 'hambat', 'kompensasi', 'kasih', 'kek', 'bayar', 'listrik', 'bulan', 'rang', 'biar', 'sama', 'enak', 'maksdnya', 'moga', 'paham']",minta maaf mulu bayar listrik gabisa kurang harus kompensasi karna rakyat alami rugi contoh kerja malam mungkin masak rumah hambat kompensasi kasih kek bayar listrik bulan rang biar sama enak maksdnya moga paham
"giliran gini minta maaf,,kami mau tanya di mana data PLN rugi terus",Informasi Umum,Tidak Berisiko,"giliran gini minta maaf,,kami mau tanya di mana data pln rugi terus","['giliran', 'gini', 'minta', 'maaf', 'kami', 'mau', 'tanya', 'di', 'mana', 'data', 'pln', 'rugi', 'terus']","['giliran', 'gini', 'minta', 'maaf', 'mau', 'tanya', 'mana', 'data', 'pln', 'rugi', 'terus']","['gilir', 'gin', 'minta', 'maaf', 'mau', 'tanya', 'mana', 'data', 'pln', 'rugi', 'terus']",gilir gin minta maaf mau tanya mana data pln rugi terus
"nasi belom masak, tepaksa kami beli nasi goreng, gelap gelapan, ganti pak, uangku 76 ribu",Percakapan Biasa,Tidak Berisiko,"nasi belom masak, tepaksa kami beli nasi goreng, gelap gelapan, ganti pak, uangku 76 ribu","['nasi', 'belom', 'masak', 'tepaksa', 'kami', 'beli', 'nasi', 'goreng', 'gelap', 'gelapan', 'ganti', 'pak', 'uangku', 'ribu']","['nasi', 'belom', 'masak', 'tepaksa', 'beli', 'nasi', 'goreng', 'gelap', 'gelapan', 'ganti', 'pak', 'uangku', 'ribu']","['nasi', 'bom', 'masak', 'tepaksa', 'beli', 'nasi', 'goreng', 'gelap', 'gelap', 'ganti', 'pak', 'uang', 'ribu']",nasi bom masak tepaksa beli nasi goreng gelap gelap ganti pak uang ribu
LAMPU KAMI SAMPE SEKRNG MATII WOIII,Percakapan Biasa,Tidak Berisiko,lampu kami sampe sekrng matii woiii,"['lampu', 'kami', 'sampe', 'sekrng', 'matii', 'woiii']","['lampu', 'sampe', 'sekrng', 'matii', 'woiii']","['lampu', 'sampe', 'sekrng', 'mati', 'woiii']",lampu sampe sekrng mati woiii
panjang x lagu nya bos🤣🤣🤣,Percakapan Biasa,Tidak Berisiko,panjang x lagu nya bos🤣🤣🤣,"['panjang', 'x', 'lagu', 'nya', 'bos']","['panjang', 'lagu', 'bos']","['panjang', 'lagu', 'bos']",panjang lagu bos
RUGI lagi?😂😂😂😂😂,Percakapan Biasa,Tidak Berisiko,rugi lagi?😂😂😂😂😂,"['rugi', 'lagi']",['rugi'],['rugi'],rugi
terus...soal bayaran tunggakan gimana? apa bisa diterima maaf dr kami ?,Percakapan Biasa,Tidak Berisiko,terus...soal bayaran tunggakan gimana? apa bisa diterima maaf dr kami ?,"['terus', 'soal', 'bayaran', 'tunggakan', 'gimana', 'apa', 'bisa', 'diterima', 'maaf', 'dr', 'kami']","['terus', 'soal', 'bayaran', 'tunggakan', 'gimana', 'apa', 'diterima', 'maaf', 'dr']","['terus', 'soal', 'bayar', 'tunggak', 'gimana', 'apa', 'terima', 'maaf', 'dr']",terus soal bayar tunggak gimana apa terima maaf dr
"apa kompensasinya? jangan cuma minta maaf kami bayar anda, gaji anda kami yg bayar, sampai skrg hari sabtu jam 11.22 medan masi mati listrik",Transaksi Aman,Tidak Berisiko,"apa kompensasinya? jangan cuma minta maaf kami bayar anda, gaji anda kami yg bayar, sampai skrg hari sabtu jam 11.22 medan masi mati listrik","['apa', 'kompensasinya', 'jangan', 'cuma', 'minta', 'maaf', 'kami', 'bayar', 'anda', 'gaji', 'anda', 'kami', 'yg', 'bayar', 'sampai', 'skrg', 'hari', 'sabtu', 'jam', 'medan', 'masi', 'mati', 'listrik']","['apa', 'kompensasinya', 'jangan', 'cuma', 'minta', 'maaf', 'bayar', 'gaji', 'bayar', 'skrg', 'hari', 'sabtu', 'jam', 'medan', 'masi', 'mati', 'listrik']","['apa', 'kompensasi', 'jangan', 'cuma', 'minta', 'maaf', 'bayar', 'gaji', 'bayar', 'skrg', 'hari', 'sabtu', 'jam', 'medan', 'mas', 'mati', 'listrik']",apa kompensasi jangan cuma minta maaf bayar gaji bayar skrg hari sabtu jam medan mas mati listrik
tempat ku ampe pagiiiii jam delapan pagi br hidup,Percakapan Biasa,Tidak Berisiko,tempat ku ampe pagiiiii jam delapan pagi br hidup,"['tempat', 'ku', 'ampe', 'pagiiiii', 'jam', 'delapan', 'pagi', 'br', 'hidup']","['tempat', 'ampe', 'pagiiiii', 'jam', 'delapan', 'pagi', 'br', 'hidup']","['tempat', 'ampe', 'pagiiiii', 'jam', 'delapan', 'pagi', 'br', 'hidup']",tempat ampe pagiiiii jam delapan pagi br hidup
"Lampung ngga lampung., juga mati lampu yaa",Percakapan Biasa,Tidak Berisiko,"lampung ngga lampung., juga mati lampu yaa","['lampung', 'ngga', 'lampung', 'juga', 'mati', 'lampu', 'yaa']","['lampung', 'ngga', 'lampung', 'mati', 'lampu', 'yaa']","['lampung', 'ngga', 'lampung', 'mati', 'lampu', 'yaa']",lampung ngga lampung mati lampu yaa
"enak aja cma minta maaf kw
kompensasi buat masyarakat apa",Percakapan Biasa,Tidak Berisiko,"enak aja cma minta maaf kw
kompensasi buat masyarakat apa","['enak', 'aja', 'cma', 'minta', 'maaf', 'kw', 'kompensasi', 'buat', 'masyarakat', 'apa']","['enak', 'aja', 'cma', 'minta', 'maaf', 'kw', 'kompensasi', 'buat', 'masyarakat', 'apa']","['enak', 'aja', 'cma', 'minta', 'maaf', 'kw', 'kompensasi', 'buat', 'masyarakat', 'apa']",enak aja cma minta maaf kw kompensasi buat masyarakat apa
minta maaf doang gak kasih kompensasi😂,Percakapan Biasa,Tidak Berisiko,minta maaf doang gak kasih kompensasi😂,"['minta', 'maaf', 'doang', 'gak', 'kasih', 'kompensasi']","['minta', 'maaf', 'doang', 'kasih', 'kompensasi']","['minta', 'maaf', 'doang', 'kasih', 'kompensasi']",minta maaf doang kasih kompensasi
Gak ku maafin. Menderita kami tdr semuanya. Apa2 aja susah😭internet knp mati juga’? Dr jam 7 kurang sampek skrg😭,Jadwal & Kegiatan,Tidak Berisiko,gak ku maafin. menderita kami tdr semuanya. apa2 aja susah😭internet knp mati juga’? dr jam 7 kurang sampek skrg😭,"['gak', 'ku', 'maafin', 'menderita', 'kami', 'tdr', 'semuanya', 'apa', 'aja', 'susah', 'internet', 'knp', 'mati', 'juga', 'dr', 'jam', 'kurang', 'sampek', 'skrg']","['maafin', 'menderita', 'tdr', 'semuanya', 'apa', 'aja', 'susah', 'internet', 'knp', 'mati', 'dr', 'jam', 'kurang', 'sampek', 'skrg']","['maafin', 'derita', 'tdr', 'semua', 'apa', 'aja', 'susah', 'internet', 'knp', 'mati', 'dr', 'jam', 'kurang', 'sampek', 'skrg']",maafin derita tdr semua apa aja susah internet knp mati dr jam kurang sampek skrg
kami juga nyelesain kerjaan pakai cok sambung makan di luar,Kata Kasar & Ancaman,Berisiko,kami juga nyelesain kerjaan pakai cok sambung makan di luar,"['kami', 'juga', 'nyelesain', 'kerjaan', 'pakai', 'cok', 'sambung', 'makan', 'di', 'luar']","['nyelesain', 'kerjaan', 'pakai', 'cok', 'sambung', 'makan', 'luar']","['nyelesain', 'kerja', 'pakai', 'cok', 'sambung', 'makan', 'luar']",nyelesain kerja pakai cok sambung makan luar
"gampang aja minta maaf, klo kami telat bayar bisa minta maaf juga pak",Transaksi Aman,Tidak Berisiko,"gampang aja minta maaf, klo kami telat bayar bisa minta maaf juga pak","['gampang', 'aja', 'minta', 'maaf', 'klo', 'kami', 'telat', 'bayar', 'bisa', 'minta', 'maaf', 'juga', 'pak']","['gampang', 'aja', 'minta', 'maaf', 'telat', 'bayar', 'minta', 'maaf', 'pak']","['gampang', 'aja', 'minta', 'maaf', 'telat', 'bayar', 'minta', 'maaf', 'pak']",gampang aja minta maaf telat bayar minta maaf pak
Di Lampung Selatan anti Mati Lampu,Percakapan Biasa,Tidak Berisiko,di lampung selatan anti mati lampu,"['di', 'lampung', 'selatan', 'anti', 'mati', 'lampu']","['lampung', 'selatan', 'anti', 'mati', 'lampu']","['lampung', 'selatan', 'anti', 'mati', 'lampu']",lampung selatan anti mati lampu
Okelah,Percakapan Biasa,Tidak Berisiko,okelah,['okelah'],['okelah'],['oke'],oke
"Simpel nya gini Broo, kalau Telat Bayar PLN, Bisa gak cuma Bilang MAAF,,,!!!",Transaksi Aman,Tidak Berisiko,"simpel nya gini broo, kalau telat bayar pln, bisa gak cuma bilang maaf,,,!!!","['simpel', 'nya', 'gini', 'broo', 'kalau', 'telat', 'bayar', 'pln', 'bisa', 'gak', 'cuma', 'bilang', 'maaf']","['simpel', 'gini', 'broo', 'kalau', 'telat', 'bayar', 'pln', 'cuma', 'bilang', 'maaf']","['simpel', 'gin', 'broo', 'kalau', 'telat', 'bayar', 'pln', 'cuma', 'bilang', 'maaf']",simpel gin broo kalau telat bayar pln cuma bilang maaf
intinya pembangkit listrik di Sumatra cuman 1,Informasi Umum,Tidak Berisiko,intinya pembangkit listrik di sumatra cuman 1,"['intinya', 'pembangkit', 'listrik', 'di', 'sumatra', 'cuman']","['intinya', 'pembangkit', 'listrik', 'sumatra', 'cuman']","['inti', 'bangkit', 'listrik', 'sumatra', 'cuman']",inti bangkit listrik sumatra cuman
ini mati lmpu lg woy,Percakapan Biasa,Tidak Berisiko,ini mati lmpu lg woy,"['ini', 'mati', 'lmpu', 'lg', 'woy']","['mati', 'lmpu', 'lg', 'woy']","['mati', 'lmpu', 'lg', 'woy']",mati lmpu lg woy
"sekali kali gk pp, hidup mau sempurna terus ya gak mungkinlah, baru mati sehari udah gempar, PLN jg mesin bukan buatan tuhan yg bisa abadi",Informasi Umum,Tidak Berisiko,"sekali kali gk pp, hidup mau sempurna terus ya gak mungkinlah, baru mati sehari udah gempar, pln jg mesin bukan buatan tuhan yg bisa abadi","['sekali', 'kali', 'gk', 'pp', 'hidup', 'mau', 'sempurna', 'terus', 'ya', 'gak', 'mungkinlah', 'baru', 'mati', 'sehari', 'udah', 'gempar', 'pln', 'jg', 'mesin', 'bukan', 'buatan', 'tuhan', 'yg', 'bisa', 'abadi']","['sekali', 'kali', 'gk', 'pp', 'hidup', 'mau', 'sempurna', 'terus', 'mungkinlah', 'baru', 'mati', 'sehari', 'udah', 'gempar', 'pln', 'mesin', 'bukan', 'buatan', 'tuhan', 'abadi']","['sekali', 'kali', 'gk', 'pp', 'hidup', 'mau', 'sempurna', 'terus', 'mungkin', 'baru', 'mati', 'hari', 'udah', 'gempar', 'pln', 'mesin', 'bukan', 'buat', 'tuhan', 'abadi']",sekali kali gk pp hidup mau sempurna terus mungkin baru mati hari udah gempar pln mesin bukan buat tuhan abadi
Mending bpk yg di blackout,Percakapan Biasa,Tidak Berisiko,mending bpk yg di blackout,"['mending', 'bpk', 'yg', 'di', 'blackout']","['mending', 'bpk', 'blackout']","['mending', 'bpk', 'blackout']",mending bpk blackout
12 jam yaallah 😭,Percakapan Biasa,Tidak Berisiko,12 jam yaallah 😭,"['jam', 'yaallah']","['jam', 'yaallah']","['jam', 'yaallah']",jam yaallah
kmn uang negara msk GK DA cadangan gmn gitu,Percakapan Biasa,Tidak Berisiko,kmn uang negara msk gk da cadangan gmn gitu,"['kmn', 'uang', 'negara', 'msk', 'gk', 'da', 'cadangan', 'gmn', 'gitu']","['kmn', 'uang', 'negara', 'msk', 'gk', 'da', 'cadangan', 'gmn', 'gitu']","['kmn', 'uang', 'negara', 'msk', 'gk', 'da', 'cadang', 'gmn', 'gitu']",kmn uang negara msk gk da cadang gmn gitu
"kasih diskon pulsa listrik bulan ini ya pak, kalo kami telat bayar kalian cabot listrik kmi, giliran kalian bermasalah kasih lah diskon untuk kami bujang biar gak apa kali ya kan 😂😂",Transaksi Aman,Tidak Berisiko,"kasih diskon pulsa listrik bulan ini ya pak, kalo kami telat bayar kalian cabot listrik kmi, giliran kalian bermasalah kasih lah diskon untuk kami bujang biar gak apa kali ya kan 😂😂","['kasih', 'diskon', 'pulsa', 'listrik', 'bulan', 'ini', 'ya', 'pak', 'kalo', 'kami', 'telat', 'bayar', 'kalian', 'cabot', 'listrik', 'kmi', 'giliran', 'kalian', 'bermasalah', 'kasih', 'lah', 'diskon', 'untuk', 'kami', 'bujang', 'biar', 'gak', 'apa', 'kali', 'ya', 'kan']","['kasih', 'diskon', 'pulsa', 'listrik', 'bulan', 'pak', 'kalo', 'telat', 'bayar', 'kalian', 'cabot', 'listrik', 'kmi', 'giliran', 'kalian', 'bermasalah', 'kasih', 'diskon', 'bujang', 'biar', 'apa', 'kali', 'kan']","['kasih', 'diskon', 'pulsa', 'listrik', 'bulan', 'pak', 'kalo', 'telat', 'bayar', 'kalian', 'cabot', 'listrik', 'kmi', 'gilir', 'kalian', 'masalah', 'kasih', 'diskon', 'bujang', 'biar', 'apa', 'kali', 'kan']",kasih diskon pulsa listrik bulan pak kalo telat bayar kalian cabot listrik kmi gilir kalian masalah kasih diskon bujang biar apa kali kan
minta maaf doang kasi kompensasi lah,Percakapan Biasa,Tidak Berisiko,minta maaf doang kasi kompensasi lah,"['minta', 'maaf', 'doang', 'kasi', 'kompensasi', 'lah']","['minta', 'maaf', 'doang', 'kasi', 'kompensasi']","['minta', 'maaf', 'doang', 'kasi', 'kompensasi']",minta maaf doang kasi kompensasi
"Baru semalam doang, kami kemaren tuh 4 hari 4 malam nonstop",Percakapan Biasa,Tidak Berisiko,"baru semalam doang, kami kemaren tuh 4 hari 4 malam nonstop","['baru', 'semalam', 'doang', 'kami', 'kemaren', 'tuh', 'hari', 'malam', 'nonstop']","['baru', 'semalam', 'doang', 'kemaren', 'tuh', 'hari', 'malam', 'nonstop']","['baru', 'malam', 'doang', 'kemaren', 'tuh', 'hari', 'malam', 'nonstop']",baru malam doang kemaren tuh hari malam nonstop
